Target language lemma,ID,User language gloss,English gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Target language example sentence,User language translation,English translation,Reference,Topic(s),Lesson,
общий,131,common,,A,A1,"LM, МН",2,общем,Loc.Neut.Sing,"Семья есть, работа есть, в общем, пока меня всё устраивает.","I have a family and work. Generally, I'm happy with everything.",,_,люди,22,
общий,132,common,,A,A1,"LM, МН",3,общей,Gen.Fem.Sing,Это событие — часть нашей общей истории. ,This event is part of our common history.,,_,люди,22,
история,133,history,,N.Fem.Inan,A1,"Golosa, MiP, МН",1,история,Nom.Sing,История древнего мира — мой любимый предмет в университете.,Ancient history is my favorite subject at university.,,_,"время, учёба/работа",11,
история,134,history,,N.Fem.Inan,A1,"Golosa, MiP, МН",2,истории,Gen.Sing,Без изучения истории у людей нет будущего.,Without learning history people have no future.,,_,"время, учёба/работа",11,
история,135,history,,N.Fem.Inan,A1,"Golosa, MiP, МН",3,историю,Acc.Sing,Я изучаю историю России.,I study Russian history.,,_,"время, учёба/работа",11,
давать,136,give,,V,A1,"MiP, LM, МН",1,даёт,Imperf.Sing.3,Мама даёт ребёнку игрушку.,The mom gives a toy to her child.,,_,"общение, магазин",18,
давать,137,give,,V,A1,"MiP, LM, МН",2,дают,Imperf.Plur.3,Дети шумят и не дают мне работать.,"Childeren are noisy, they don't let me work. ",,_,"общение, магазин",18,
давать,138,give,,V,A1,"MiP, LM, МН",3,давать,Imperf.Inf,Хороший психолог не станет давать советов.,A good psychologist will never give advice.,,_,"общение, магазин",18,
программа,139,program,,N.Fem.Inan,A1,"MiP, LM, МН",1,программы,Gen.Sing,У меня на компьютере нет хорошей программы для обработки фотографий.,I don't have a good program on my computer for editing photos.,,_,"учёба/работа, свободное время",15,
программа,140,program,,N.Fem.Inan,A1,"MiP, LM, МН",2,программа,Nom.Sing,По телевизору идёт моя любимая программа.,My favorite show is on TV now.,,_,"учёба/работа, свободное время",15,
программа,141,program,,N.Fem.Inan,A1,"MiP, LM, МН",3,программ,Gen.Plur,На моём компьютере нет программ для обработки видео.,I don't have programs for editing videos on my computer.,,_,"учёба/работа, свободное время",15,
дарить,142,give a gift,,V,A1,"Golosa, MiP, LM, МН",1,дарить,Imperf.Inf,На день рождения принято дарить подарки.,It is customary to give birthday presents.,,_,люди,18,
дарить,143,give a gift,,V,A1,"Golosa, MiP, LM, МН",2,дарит,Imperf.Sing.3,Дед Мороз дарит детям подарки на Новый год.,Santa Claus gives children presents on New Year's Eve.,,_,люди,18,
дарить,144,give a gift,,V,A1,"Golosa, MiP, LM, МН",3,дарят,Imperf.Plur.3,"Я не люблю, когда мне дарят цветы.",I don't like it when people give me flowers.,,_,люди,18,
российский,145,Russian,,A,A1,"Golosa, MiP, LM, МН",1,российской,Gen.Fem.Sing,"Цвета флага Российской Федерации — белый, синий и красный.","The colors of the Russian flag are white, blue and red.",,_,"люди, путешествие, политика",21,
российский,146,Russian,,A,A1,"Golosa, MiP, LM, МН",2,российских,Gen.Plur,Министр финансов отказался отвечать на вопросы российских журналистов. ,The Minister of finance refused to answer questions from the Russian journalists.,,_,"люди, путешествие, политика",21,
российский,147,Russian,,A,A1,"Golosa, MiP, LM, МН",3,российского,Gen.Masc.Sing,У него нет российского паспорта.,He doesn't have a Russian passport.,,_,"люди, путешествие, политика",21,
час,148,hour,,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,часов,Gen.Plur,Я сегодня спал десять часов!,I slept for 10 hours today!,,_,"мера, время",16,
час,149,hour,,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,часа,Gen.Sing,В два часа у нас встреча с новым клиентом.,I have a meeting with a new client at two o’clock.,,_,"мера, время",16,
час,150,hour,,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,час,Acc.Sing,Мы вернёмся через час.,We'll be back in an hour.,,_,"мера, время",16,
русский,151,Russian,,A,A1,"LM, МН",1,русской,Gen.Fem.Sing,XIX век — «золотой» век русской литературы.,"The 19th century is the ""golden"" era of Russian literature.",,_,"люди, путешествие, политика",11,
русский,152,Russian,,A,A1,"LM, МН",2,русского,Gen.Masc.Sing,Мы идём на выставку русского авангарда в Третьяковскую галерею.,We are going to the exhibition of Russian avant-garde art at the Tretyakov gallery.,,_,"люди, путешествие, политика",11,
русский,153,Russian,,A,A1,"LM, МН",3,русском,Loc.Masc.Sing,В русском алфавите тридцать три буквы.,There are 33 letters in the Russian alphabet.,,_,"люди, путешествие, политика",11,
мужчина,154,man,,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",1,мужчина,Nom.Sing,Этот мужчина всегда гуляет в парке один.,This man always walks in the park alone.,,_,люди,17,
мужчина,155,man,,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",2,мужчин,Gen.Plur,В школе работает мало мужчин.,Few men work at school.,,_,люди,17,
мужчина,156,man,,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",3,мужчины,Nom.Plur,Эти мужчины работают со мной в одном офисе.,These men work with me in a shared office. ,,_,люди,17,
книга,157,book,,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,книгу,Acc.Sing,Я купила новую книгу Акунина.,I bought a new book by Akunin.,,_,"учёба/работа, свободное время",2,
книга,158,book,,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,книга,Nom.Sing,Эта книга мне не нравится.,I don't like that book.,,_,"учёба/работа, свободное время",2,
книга,159,book,,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,книге,Loc.Sing,В этой книге много ошибок.,There are many mistakes in this book.,,_,"учёба/работа, свободное время",2,
высокий,160,high,,A,A1,"Golosa, MiP, МН",1,выше,Comparative,Миша на десять сантиметров выше Пети. ,Misha is 10 centimeters taller than Petya.,,_,мера,15,
высокий,161,high,,A,A1,"Golosa, MiP, МН",2,высокий,Nom.Masc.Sing,У него высокий голос. ,He has a high voice.,,_,мера,15,
высокий,162,high,,A,A1,"Golosa, MiP, МН",3,высокой,Ins.Fem.Sing,Я осталась дома с высокой температурой.,I stayed at home because of a high fever.,,_,мера,15,
известный,163,famous,,A,A1,"MiP, МН",1,известно,Neut.Sing,Это здание известно во всём мире.,This building is famous worldwide.,,_,люди,22,
известный,164,famous,,A,A1,"MiP, МН",2,известных,Gen.Plur,Здесь много известных людей. ,There are many famous people here.,,_,люди,22,
известный,165,famous,,A,A1,"MiP, МН",3,известные,Nom.Plur,Известные актёры приняли участие в благотворительном марафоне. ,Famous actors took part in a charity marathon.,,_,люди,22,
нога,166,foot,,N.Fem.Inan,A1,"MiP, МН",1,ноги,Acc.Plur,Впереди яма! Смотри под ноги!,There's a gap! Mind your feet!,,_,"люди, здоровье",28,
нога,167,foot,,N.Fem.Inan,A1,"MiP, МН",2,ногами,Ins.Plur,"В футбол играют ногами, а в баскетбол — руками.","Football is played with the feet, basketball is played with the hands.",,_,"люди, здоровье",28,
нога,168,foot,,N.Fem.Inan,A1,"MiP, МН",3,ногу,Acc.Sing,Она упала и сломала правую ногу.,She fell and broke her right leg.,,_,"люди, здоровье",28,
делать,169,do,,V,A1,"Golosa, MiP, LM, МН",1,делать,Imperf.Inf,"Что делать, если болит зуб?",What should you do if you have a toothache?,,_,"свободное время, учёба/работа",3,
делать,170,do,,V,A1,"Golosa, MiP, LM, МН",2,делает,Imperf.Sing.3,Он целыми днями сидит дома и ничего не делает!,All day long he just sits at home doing nothing!,,_,"свободное время, учёба/работа",3,
делать,171,do,,V,A1,"Golosa, MiP, LM, МН",3,делают,Imperf.Plur.3,"Из молока делают сметану, масло, йогурт и творог.","Sour cream, butter, yoghurt and cottage cheese are made from milk.",,_,"свободное время, учёба/работа",3,
думать,172,think,,V,A1,"Golosa, MiP, LM, МН",1,думаю,Imperf.Sing.1,"Я не думаю, что это хорошая идея.",I don’t think it’s a good idea.,,_,"внутренний мир, учёба/работа",6,
думать,173,think,,V,A1,"Golosa, MiP, LM, МН",2,думал,Imperf.Masc.Sing.Past,"Когда Вася был маленьким, он думал, что столица США — Нью-Йорк.",When Vasya was little he used to think that New York is the capital of the USA.,,_,"внутренний мир, учёба/работа",6,
думать,174,think,,V,A1,"Golosa, MiP, LM, МН",3,думать,Imperf.Inf,"Я не хочу сейчас об этом думать, я хочу спать!","I don't want to think about it now, I want to sleep!",,_,"внутренний мир, учёба/работа",6,
образование,175,education,,N.Neut.Inan,A1,"Golosa, MiP, МН",1,образования,Gen.Sing,Маша работает в Министерстве образования.,Masha works in the ministry of education.,,_,учёба/работа,22,
образование,176,education,,N.Neut.Inan,A1,"Golosa, MiP, МН",2,образование,Acc.Sing,Я получила высшее образование в Москве. А вы?,I got my higher education in Moscow. And you?,,_,учёба/работа,22,
образование,177,education,,N.Neut.Inan,A1,"Golosa, MiP, МН",3,образованием,Ins.Sing,Кем можно работать с образованием философа?,What job can you get with a degree in philosophy?,,_,учёба/работа,22,
семья,178,family,,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,семьи,Gen.Sing,Это вам подарок от нашей семьи.,This is a gift to you from our family.,,_,люди,4,
семья,179,family,,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,семье,Loc.Sing,Он родился в большой семье.,He was born into a big family.,,_,люди,4,
семья,180,family,,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,семья,Nom.Sing,"Наша семья не очень большая: мама, папа, моя сестра и я.","Our family is not very big: mom, dad, my sister and me.",,_,люди,4,
качество,181,quality,,N.Neut.Inan,A1,"Golosa, MiP, МН",1,качестве,Loc.Sing,Эти фотографии можно повесить на стену в качестве украшения.,You can put these photos on the wall as a decoration.,,_,"мера, описание",29,
качество,182,quality,,N.Neut.Inan,A1,"Golosa, MiP, МН",2,качества,Gen.Sing,"Я купила дорогие кроссовки, но они оказались плохого качества.",I bought expensive sneakers but they turned out to be of bad quality.,,_,"мера, описание",29,
качество,183,quality,,N.Neut.Inan,A1,"Golosa, MiP, МН",3,качество,Nom.Sing,Честность — моё любимое качество в людях.,Honesty is my favorite quality in people.,,_,"мера, описание",29,
рубль,184,rouble,,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,рублей,Gen.Plur,Молоко стоит пятьдесят рублей.,Milk costs 50 roubles.,,_,"мера, учёба/работа",16,
рубль,185,rouble,,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,рубля,Gen.Sing,Цена этого хлеба — сорок четыре рубля.,The price of this bread is 44 roubles.,,_,"мера, учёба/работа",16,
рубль,186,rouble,,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,рубль,Nom.Sing,Есть рубль? Мне не хватает на билет.,Do you have a rouble? I need one more to buy a ticket.,,_,"мера, учёба/работа",16,
ездить,187,ride,,V,A1,"Golosa, MiP, МН, Кс",1,ездил,Imperf.Masc.Sing.Past,На прошлой неделе он ездил в Санкт-Петербург.,Last week he went to Saint Petersburg.,,_,путешествие,18,
ездить,188,ride,,V,A1,"Golosa, MiP, МН, Кс",2,ездить,Imperf.Inf,Мне нравится ездить на поезде.,I like traveling by train.,,_,путешествие,18,
ездить,189,ride,,V,A1,"Golosa, MiP, МН, Кс",3,ездили,Imperf.Plur.Past,В прошлом году мы ездили во Францию.,Last year we went to France.,,_,путешествие,18,
квартира,190,apartment,,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,квартире,Loc.Sing,В моей квартире три комнаты.,There are 3 rooms in my apartment.,,_,"люди, жильё",5,
квартира,191,apartment,,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,квартиру,Acc.Sing,Я ищу квартиру в центре Москвы.,I am looking for an apartment in the centre of Moscow.,,_,"люди, жильё",5,
квартира,192,apartment,,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,квартира,Nom.Sing,"Моя квартира маленькая, но уютная.",My apartment is small but cozy.,,_,"люди, жильё",5,
век,193,century,,N.Masc.Inan,A1,"MiP, МН, Поехали",1,века,Gen.Sing,Это здание восемнадцатого века.,This building is from the 18th century.,,_,"мера, время",15,
век,194,century,,N.Masc.Inan,A1,"MiP, МН, Поехали",2,веке,Loc.Sing,Толстой родился в девятнадцатом веке. ,Tolstoy was born in the 19th century.,,_,"мера, время",15,
век,195,century,,N.Masc.Inan,A1,"MiP, МН, Поехали",3,веков,Gen.Plur,В течение многих веков люди жили без электричества.,For many centuries people lived without electricity.,,_,"мера, время",15,
страница,196,page,,N.Fem.Inan,A1,"MiP, МН",1,страница,Nom.Sing,Первая страница в этой книге — пустая.,The first page of this book is blank.,,_,"мера, учёба/работа",17,
страница,197,page,,N.Fem.Inan,A1,"MiP, МН",2,страниц,Gen.Plur,В этой книге двести страниц.,There are 200 pages in this book.,,_,"мера, учёба/работа",17,
страница,198,page,,N.Fem.Inan,A1,"MiP, МН",3,страницах,Loc.Plur,На последних страницах журнала напечатана моя статья.,My article is printed on the last pages of the journal.,,_,"мера, учёба/работа",17,
ехать,199,ride,,V,A1,"Golosa, MiP, LM, МН, Кс",1,ехать,Imperf.Inf,"Уже поздно, нам пора ехать домой!","It’s late, time for us to go home!",,_,путешествие,12,
ехать,200,ride,,V,A1,"Golosa, MiP, LM, МН, Кс",2,едет,Imperf.Sing.3,Мальчик едет на велосипеде.,The boy is riding a bike.,,_,путешествие,12,
ехать,201,ride,,V,A1,"Golosa, MiP, LM, МН, Кс",3,едем,Imperf.Plur.1,Через неделю мы едем в Турцию.,In a week we’re going to Turkey.,,_,путешествие,12,
ждать,202,wait,,V,A1,"MiP, LM, МН",1,ждёт,Imperf.Sing.3,Меня ждёт дома мама.,Mom is waiting for me at home.,,_,"люди, время",19,
ждать,203,wait,,V,A1,"MiP, LM, МН",2,ждать,Imperf.Inf,Я буду ждать тебя у метро.,I will wait for you next to the metro station.,,_,"люди, время",19,
ждать,204,wait,,V,A1,"MiP, LM, МН",3,ждали,Imperf.Plur.Past,Мы долго ждали автобус на остановке.,We were waiting for the bus at the bus stop for a long time.,,_,"люди, время",19,
класс,205,class,,N.Masc.Inan,A1,"Golosa, MiP, МН",1,класса,Gen.Sing,Мы дружим с первого класса.,We have been friends since first grade.,,_,"люди, учёба/работа",5,
класс,206,class,,N.Masc.Inan,A1,"Golosa, MiP, МН",2,класс,Nom.Sing,Сегодня наш класс идёт на экскурсию в музей!,Our class is going on a field trip to a museum today!,,_,"люди, учёба/работа",5,
класс,207,class,,N.Masc.Inan,A1,"Golosa, MiP, МН",3,классе,Loc.Sing,В нашем классе двадцать восемь человек.,There are 28 people in our class.,,_,"люди, учёба/работа",5,
свет,208,"light, world",,N.Masc.Inan,A1,МН,1,света,Gen.Sing,Пирамиды в Гизе — одно из семи чудес света.,Pyramids in Giza are one of the Seven Wonders of the world.,,_,"люди, путешествие",25,
свет,209,"light, world",,N.Masc.Inan,A1,МН,2,свете,Loc.Sing,У меня лучшая мама на свете!,I have the best mom on Earth!,,_,"люди, путешествие",25,
свет,210,"light, world",,N.Masc.Inan,A1,МН,3,свет,Nom.Sing,Свет Солнца доходит до Земли за восемь минут девятнадцать секунд.,Solar light reaches Earth in 8 minutes and 19 seconds.,,_,"люди, путешествие",25,
желать,211,wish,,V,A1,"LM, МН",1,желаю,Imperf.Sing.1,Я желаю вам счастья и любви!,I wish you happiness and love!,,_,внутренний мир,18,
желать,212,wish,,V,A1,"LM, МН",2,желает,Imperf.Sing.3,"Мы говорили ему пойти к врачу, но он не желает ничего слышать!","We told him to see doctor, but he doesn’t want to listen.",,_,внутренний мир,18,
желать,213,wish,,V,B2,"LM, МН",3,желая,Imperf.Gerund,"Он поднялся на двадцатый этаж, желая увидеть фейерверк. ",He went to the 20th floor hoping to see the fireworks.,,_,внутренний мир,18,
ответ,214,answer,,N.Masc.Inan,A1,МН,1,ответ,Acc.Sing,Я написала им письмо и теперь жду ответ.,I wrote them a letter and am now waiting for a response.,,_,люди,17,
ответ,215,answer,,N.Masc.Inan,A1,МН,2,ответов,Gen.Plur,"Я задал много вопросов, но не получил на них ответов.",I asked many questions but didn’t get answers.,,_,люди,17,
ответ,216,answer,,N.Masc.Inan,A1,МН,3,ответа,Gen.Sing,Он оставил мой вопрос без ответа.,He left my question unanswered.,,_,люди,17,
разный,217,different,,A,A1,МН,1,разных,Gen.Plur,К нам приехали друзья из разных стран.,Friends from different countries came to see us.,,_,мера,21,
разный,218,different,,A,A1,МН,2,разные,Nom.Plur,Все разные — все равные.,Everybody is different — everybody is equal.,,_,мера,21,
разный,219,different,,A,A1,МН,3,разными,Ins.Plur,"Мы женаты, но живём под разными фамилиями.",We are married but live under different surnames.,,_,мера,21,
жить,220,live,,V,A1,"Golosa, MiP, LM, МН",1,жить,Imperf.Inf,Я хочу жить во Франции.,I want to live in France.,,_,"время, люди",4,
жить,221,live,,V,A1,"Golosa, MiP, LM, МН",2,живёт,Imperf.Sing.3,Он живёт в Лондоне.,He lives in London.,,_,"время, люди",4,
жить,222,live,,V,A1,"Golosa, MiP, LM, МН",3,жили,Imperf.Plur.Past,Раньше мы жили в Санкт-Петербурге.,We used to live in Saint Petersburg.,,_,"время, люди",4,
интересный,223,interesting,,A,A1,"Golosa, MiP, LM, МН",1,интересно,Adverb,С тобой интересно разговаривать.,It's interesting to talk to you.,,_,описание,11,
интересный,224,interesting,,A,A1,"Golosa, MiP, LM, МН",2,интересная,Nom.Fem.Sing,Какая у тебя интересная жизнь!,What an interesting life you have!,,_,описание,11,
интересный,225,interesting,,A,A1,"Golosa, MiP, LM, МН",3,интересное,Nom.Neut.Sing,Это интересное предложение. Я подумаю и перезвоню вам.,It’s an interesting suggestion. I’ll think about it and call you back.,,_,описание,11,
завтракать,226,have breakfast,,V,A1,"Golosa, MiP, LM, МН",1,завтракать,Imperf.Inf,Я люблю завтракать дома с семьей.,I like to have breakfast at home with my family.,,_,еда,3,
завтракать,227,have breakfast,,V,A1,"Golosa, MiP, LM, МН",2,завтракал,Imperf.Masc.Sing.Past,Во Франции я каждый день завтракал круассанами.,In France I ate croissants for breakfast every day.,,_,еда,3,
завтракать,228,have breakfast,,V,A1,"Golosa, MiP, LM, МН",3,завтракали,Imperf.Plur.Past,"Одиннадцать утра, а мы ещё не завтракали! Пойдём скорее есть!",It’s 11 AM and we haven’t had breakfast yet! Let’s go eat!,,_,еда,3,
месяц,229,month,,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,месяц,Acc.Sing,Через месяц мы поедем на море.,In one month we’ll travel to the seaside.,,_,"мера, время",30,
месяц,230,month,,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,месяца,Gen.Sing,Я ничего не слышала от него уже три месяца. С ним всё в порядке?,I haven’t heard anything from him in 3 months. Is he all right?,,_,"мера, время",30,
месяц,231,month,,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,месяцев,Gen.Plur,Я работаю в этой компании уже десять месяцев.,I’ve been working for this company for 10 months already.,,_,"мера, время",30,
следующий,232,next,,A,A1,"MiP, LM, МН",1,следующий,Inan.Acc.Masc.Sing,В следующий раз не забудь взять с собой паспорт!,Don’t forget to take your passport with you next time!,,_,"мера, время",34,
следующий,233,next,,A,A1,"MiP, LM, МН",2,следующим,Ins.Masc.Sing,Кто станет следующим президентом России?,Who will be the next president of Russia?,,_,"мера, время",34,
следующий,234,next,,A,A1,"MiP, LM, МН",3,следующем,Loc.Masc.Sing,В следующем году мне будет тридцать лет.,I will be 30 next year.,,_,"мера, время",34,
звонить,235,call,,V,A1,"MiP, LM, МН",1,звонил,Imperf.Masc.Sing.Past,"Пока вас не было, у вас звонил телефон.",Your phone was ringing while you were away.,,_,"люди, общение",26,
звонить,236,call,,V,A1,"MiP, LM, МН",2,звонить,Imperf.Inf,"Как хорошо, что вы пришли. Я уже собирался вам звонить.",So good that you came. I was just about to call you.,,_,"люди, общение",26,
звонить,237,call,,V,A1,"MiP, LM, МН",3,звонит,Imperf.Sing.3,"Он обещал позвонить сегодня, но почему-то не звонит.",He promised to call today but hasn’t called for some unknown reason.,,_,"люди, общение",26,
минута,238,minute,,N.Fem.Inan,A1,"MiP, LM, МН",1,минут,Gen.Plur,Спектакль начнётся через пять минут.,The show starts in 5 minutes.,,_,"мера, время",19,
минута,239,minute,,N.Fem.Inan,A1,"MiP, LM, МН",2,минуту,Acc.Sing,Дайте мне минуту! Я всё объясню.,Give me a minute! I’ll explain everything.,,_,"мера, время",19,
минута,240,minute,,N.Fem.Inan,A1,"MiP, LM, МН",3,минуты,Gen.Sing,Она придёт через три минуты.,She will come in 3 minutes.,,_,"мера, время",19,
вечер,241,evening,,N.Masc.Inan,A1,"Golosa, MiP, LM, МН, Поехали",1,вечером,Ins.Sing,Пойдём в кино сегодня вечером?,Shall we go to the movie theater tonight?,,_,"мера, время",6,
вечер,242,evening,,N.Masc.Inan,A1,"Golosa, MiP, LM, МН, Поехали",2,вечера,Gen.Sing,Давайте подождём до вечера и потом будем звонить ему.,Let's wait until evening and then we’ll call him.,,_,"мера, время",6,
вечер,243,evening,,N.Masc.Inan,A1,"Golosa, MiP, LM, МН, Поехали",3,вечер,Acc.Sing,У нас большие планы на сегодняшний вечер!,We have big plans for this evening!,,_,"мера, время",6,
имя,244,name,,N.Neut.Inan,A1,"Golosa, MiP, МН",1,имя,Acc.Sing,"Назовите, пожалуйста, Ваше имя!",Tell me your name please!,,_,люди,11,
имя,245,name,,N.Neut.Inan,A1,"Golosa, MiP, МН",2,имени,Gen.Sing,"Уважаемые пассажиры, от имени нашей авиакомпании желаю вам приятного полёта!","Dear passengers, on behalf of our company I wish you a pleasant flight!",,_,люди,11,
имя,246,name,,N.Neut.Inan,A1,"Golosa, MiP, МН",3,именем,Ins.Sing,"Никто не знает, какой художник скрывается под именем Бэнкси.",Nobody knows the artist who is hiding behind the name of Banksy.,,_,люди,11,
молодой,247,young,,A,A1,"Golosa, MiP, LM, МН",1,молодой,Nom.Masc.Sing,Этот молодой человек хочет стать музыкантом.,This young man wants to become a musician,,_,"люди, мера, время",7,
молодой,248,young,,A,A1,"Golosa, MiP, LM, МН",2,молодых,Gen.Plur,В этой школе много молодых учёных.,There are many young scientists at this school.,,_,"люди, мера, время",7,
молодой,249,young,,A,A1,"Golosa, MiP, LM, МН",3,молодые,Nom.Plur,Молодые учёные собрались на конференцию в Милане.,Young scientists gathered for the conference in Milan.,,_,"люди, мера, время",7,
здравствовать,250,be well,,V,A1,МН,1,здравствуйте,Imperf.Imper.Plur.2,"Здравствуйте, уважаемые участники конференции!","Hello, dear conference participants!",,_,"люди, общение",3,
здравствовать,251,be well,,V,A1,МН,2,здравствует,Imperf.Sing.3,Да здравствует свобода!,Long live freedom!,,_,"люди, общение",3,
здравствовать,252,be well,,V,A1,МН,3,здравствуй,Imperf.Imper.Sing.2,"Здравствуй, Катя! Давно не виделись! Как твои дела?","Hi, Katya! Long time no see! How are you?",,_,"люди, общение",3,
событие,253,event,,N.Neut.Inan,A1,МН,1,событий,Gen.Plur,Мы будем следить за развитием событий.,We’ll keep on watching the development of events.,,_,"люди, время",31,
событие,254,event,,N.Neut.Inan,A1,МН,2,события,Nom.Plur,Эти события изменили нашу жизнь.,These events changed our life.,,_,"люди, время",31,
событие,255,event,,N.Neut.Inan,A1,МН,3,событие,Nom.Sing,Полёт человека в космос— большое событие для всего мира.,Human flight into outer space is a big event for the whole world.,,_,"люди, время",31,
знать,256,know,,V,A1,"Golosa, MiP, LM, МН",1,знаю,Imperf.Sing.1,Я не знаю этого человека.,I don't know that person.,,_,"внутренний мир, учёба/работа",11,
знать,257,know,,V,A1,"Golosa, MiP, LM, МН",2,знаете,Imperf.Plur.2,"Знаете ли вы, что Луна — спутник Земли?",Did you know that the Moon is a satellite of the Earth?,,_,"внутренний мир, учёба/работа",11,
знать,258,know,,V,A1,"Golosa, MiP, LM, МН",3,знает,Imperf.Sing.3,Он много знает об истории России.,He knows a lot about Russian history.,,_,"внутренний мир, учёба/работа",11,
ночь,259,night,,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,ночь,Acc.Sing,Мы были в клубе всю ночь.,We were in the club the whole night.,,_,"мера, время",3,
ночь,260,night,,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,ночью,Ins.Sing,За полярным кругом ночью можно увидеть северное сияние.,It's possible to see the northern lights at night above the polar circle.,,_,"мера, время",3,
ночь,261,night,,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,ночи,Gen.Sing,Наш самолёт улетает в два часа ночи.,Our flight departs at 2 AM.,,_,"мера, время",3,
машина,262,car,,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,машину,Acc.Sing,"Садись в машину, нам пора ехать!","Get inside the car, it’s time to go!",,_,"люди, путешествие",7,
машина,263,car,,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,машины,Gen.Sing,За городом трудно жить без машины.,It's difficult to live outside the city without a car.,,_,"люди, путешествие",7,
машина,264,car,,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,машина,Nom.Sing,"У меня сломалась машина, нужно везти её в ремонт.","My car broke down, I need to take it in for service.",,_,"люди, путешествие",7,
играть,265,play,,V,A1,"Golosa, MiP, LM, МН",1,играть,Imperf.Inf,Я не умею играть в баскетбол.,I don't know how to play basketball.,,_,"люди, свободное время",3,
играть,266,play,,V,A1,"Golosa, MiP, LM, МН",2,играет,Imperf.Sing.3,Мой брат играет на гитаре.,My brother plays the guitar.,,_,"люди, свободное время",3,
играть,267,play,,V,A1,"Golosa, MiP, LM, МН",3,играл,Imperf.Masc.Sing.Past,Он очень хорошо играл на скрипке.,He played the violin very well.,,_,"люди, свободное время",3,
идти,268,go,,V,A1,"Golosa, MiP, LM, МН, Кс",1,идёт,Imperf.Sing.3,В сентябре моя дочка идёт в школу.,My daughter starts school in September.,,_,"люди, свободное время, погода",12,
идти,269,go,,V,A1,"Golosa, MiP, LM, МН, Кс",2,идти,Imperf.Inf,Я устала и не могу идти дальше.,I am tired and can’t walk further.,,_,"люди, свободное время, погода",12,
идти,270,go,,V,A1,"Golosa, MiP, LM, МН, Кс",3,шёл,Imperf.Masc.Sing.Past,Вчера весь день шёл дождь.,It was raining the whole day yesterday.,,_,"люди, свободное время, погода",12,
мать,271,mother,,N.Fem.Anim,A1,"Golosa, MiP, LM, МН",1,мать,Nom.Sing,Его мать — очень сильная женщина.,His mother is a very strong woman.,,_,люди,9,
мать,272,mother,,N.Fem.Anim,A1,"Golosa, MiP, LM, МН",2,матери,Gen.Sing,В России обычно не празднуют День матери.,People don’t usually celebrate Mother’s day in Russia.,,_,люди,9,
мать,273,mother,,N.Fem.Anim,A1,"Golosa, MiP, LM, МН",3,матерью,Ins.Sing,Он не разговаривает со своей матерью.,He doesn't talk to his mother.,,_,люди,9,
стол,274,table,,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,столом,Ins.Sing,"Люблю, когда вся семья собирается за столом.",I like it when the whole family gathers around the table.,,_,"еда, учёба/работа, жильё",2,
стол,275,table,,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,стол,Acc.Sing,"Ужин готов, садитесь за стол!","Dinner is ready, sit down at the table!",,_,"еда, учёба/работа, жильё",2,
стол,276,table,,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,стола,Gen.Sing,"Пора было выходить из-за стола, но у меня не было сил.",It was time to leave the table but I didn’t have energy.,,_,"еда, учёба/работа, жильё",2,
цена,277,price,,N.Fem.Inan,A1,"MiP, LM, МН",1,цена,Nom.Sing,"Мне нравится это платье, но его цена слишком высокая.",I like this dress but the price is too high.,,_,мера,20,
цена,278,price,,N.Fem.Inan,A1,"MiP, LM, МН",2,цены,Nom.Plur,Цены в нашем магазине — самые низкие в городе.,The prices in our shop are the lowest in town.,,_,мера,20,
цена,279,price,,N.Fem.Inan,A1,"MiP, LM, МН",3,цен,Gen.Plur,Мы были в шоке от цен на новые айфоны.,We were shocked by the prices for new iPhones.,,_,мера,20,
